Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR11605270_kneaddata_paired_1	(25.0, 1.0)	(26.0, 10.0)	(27.0, 100.0)	(28.0, 763.0)	(29.0, 4168.0)	(30.0, 14800.0)	(31.0, 38733.0)	(32.0, 80085.0)	(33.0, 149579.0)	(34.0, 286292.0)	(35.0, 784797.0)	(36.0, 6003700.0)	(37.0, 294354.0)														
SRR11605270_kneaddata_paired_2	(25.0, 7.0)	(26.0, 52.0)	(27.0, 464.0)	(28.0, 2437.0)	(29.0, 9310.0)	(30.0, 27129.0)	(31.0, 65944.0)	(32.0, 139561.0)	(33.0, 281876.0)	(34.0, 654419.0)	(35.0, 2136420.0)	(36.0, 4251817.0)	(37.0, 87946.0)														
SRR11605271_1	(13.0, 1.0)	(14.0, 4.0)	(15.0, 23.0)	(16.0, 68.0)	(17.0, 140.0)	(18.0, 268.0)	(19.0, 395.0)	(20.0, 504.0)	(21.0, 729.0)	(22.0, 1152.0)	(23.0, 1809.0)	(24.0, 3353.0)	(25.0, 6322.0)	(26.0, 11798.0)	(27.0, 20473.0)	(28.0, 32419.0)	(29.0, 48070.0)	(30.0, 66389.0)	(31.0, 90292.0)	(32.0, 126536.0)	(33.0, 178770.0)	(34.0, 280712.0)	(35.0, 652071.0)	(36.0, 5340200.0)	(37.0, 393241.0)		
SRR11605271_2	(11.0, 1.0)	(12.0, 121.0)	(13.0, 369.0)	(14.0, 432.0)	(15.0, 437.0)	(16.0, 459.0)	(17.0, 493.0)	(18.0, 572.0)	(19.0, 905.0)	(20.0, 1468.0)	(21.0, 2865.0)	(22.0, 5418.0)	(23.0, 9017.0)	(24.0, 13375.0)	(25.0, 18561.0)	(26.0, 24620.0)	(27.0, 32787.0)	(28.0, 43152.0)	(29.0, 57640.0)	(30.0, 77604.0)	(31.0, 108002.0)	(32.0, 161304.0)	(33.0, 263133.0)	(34.0, 559707.0)	(35.0, 1787869.0)	(36.0, 3979704.0)	(37.0, 105724.0)
SRR11605271_kneaddata_paired_1	(26.0, 7.0)	(27.0, 130.0)	(28.0, 840.0)	(29.0, 4102.0)	(30.0, 14027.0)	(31.0, 35396.0)	(32.0, 71636.0)	(33.0, 131579.0)	(34.0, 245891.0)	(35.0, 644634.0)	(36.0, 5355070.0)	(37.0, 395637.0)															
SRR11605271_kneaddata_paired_2	(24.0, 1.0)	(25.0, 8.0)	(26.0, 53.0)	(27.0, 426.0)	(28.0, 2152.0)	(29.0, 8237.0)	(30.0, 23476.0)	(31.0, 56161.0)	(32.0, 118086.0)	(33.0, 235727.0)	(34.0, 540625.0)	(35.0, 1796000.0)	(36.0, 4011480.0)	(37.0, 106517.0)													
SRR11605272_1	(15.0, 1.0)	(16.0, 0.0)	(17.0, 7.0)	(18.0, 8.0)	(19.0, 18.0)	(20.0, 39.0)	(21.0, 89.0)	(22.0, 262.0)	(23.0, 762.0)	(24.0, 2020.0)	(25.0, 4934.0)	(26.0, 10657.0)	(27.0, 19679.0)	(28.0, 31472.0)	(29.0, 47369.0)	(30.0, 65655.0)	(31.0, 88440.0)	(32.0, 121384.0)	(33.0, 174522.0)	(34.0, 289803.0)	(35.0, 764946.0)	(36.0, 5399335.0)	(37.0, 203782.0)				
SRR11605272_2	(11.0, 4.0)	(12.0, 83.0)	(13.0, 228.0)	(14.0, 258.0)	(15.0, 177.0)	(16.0, 149.0)	(17.0, 139.0)	(18.0, 196.0)	(19.0, 249.0)	(20.0, 547.0)	(21.0, 1293.0)	(22.0, 3180.0)	(23.0, 6833.0)	(24.0, 11876.0)	(25.0, 17408.0)	(26.0, 23948.0)	(27.0, 32148.0)	(28.0, 42697.0)	(29.0, 57835.0)	(30.0, 78836.0)	(31.0, 111990.0)	(32.0, 171260.0)	(33.0, 292164.0)	(34.0, 654839.0)	(35.0, 2081034.0)	(36.0, 3565846.0)	(37.0, 69967.0)
SRR11605272_kneaddata_paired_1	(26.0, 9.0)	(27.0, 93.0)	(28.0, 779.0)	(29.0, 4091.0)	(30.0, 14103.0)	(31.0, 37224.0)	(32.0, 75822.0)	(33.0, 140112.0)	(34.0, 265612.0)	(35.0, 750942.0)	(36.0, 5396693.0)	(37.0, 205306.0)															
SRR11605272_kneaddata_paired_2	(25.0, 6.0)	(26.0, 50.0)	(27.0, 440.0)	(28.0, 2157.0)	(29.0, 8410.0)	(30.0, 24782.0)	(31.0, 62578.0)	(32.0, 134075.0)	(33.0, 273802.0)	(34.0, 646598.0)	(35.0, 2083663.0)	(36.0, 3583900.0)	(37.0, 70325.0)														
SRR11605273_1	(15.0, 2.0)	(16.0, 3.0)	(17.0, 5.0)	(18.0, 9.0)	(19.0, 23.0)	(20.0, 52.0)	(21.0, 106.0)	(22.0, 301.0)	(23.0, 774.0)	(24.0, 2308.0)	(25.0, 5419.0)	(26.0, 11600.0)	(27.0, 20851.0)	(28.0, 33807.0)	(29.0, 50189.0)	(30.0, 69119.0)	(31.0, 93654.0)	(32.0, 129234.0)	(33.0, 183393.0)	(34.0, 296687.0)	(35.0, 747176.0)	(36.0, 5584550.0)	(37.0, 236091.0)				
